(J)	1888	106807	1	1428	680
(L)	2186	147327	1429	2539	1995
(N)	2647	192361	2540	4326	3433
(S)	2727	196920	4327	6471	5396
(Z)	3278	266250	6472	8046	7258
E	3872	338236	8047	9513	8781
E~	4591	403520	9514	12215	10873
F	5057	478714	12216	13979	13080
G	5115	482800	13980	14767	14367
I	5272	497805	14768	17010	15849
I_^	5995	570446	17011	18639	17812
I_^E	6598	629026	18640	21321	19996
I_^U	7094	687745	21322	26139	23727
I_^a	7199	698559	26140	28732	27422
I~	7797	774208	28733	31565	30182
J-	8414	860805	31566	33531	32558
O	8658	893214	33532	34505	34041
O~	9415	973893	34506	39118	36807
U	9845	1044545	39119	40542	39813
U_^	10569	1129208	40543	42386	41450
U_^O	10920	1169631	42387	46454	44402
U~	11418	1246249	46455	49500	47966
a	12678	1488225	49501	51097	50305
a~	13472	1573688	51098	55381	53259
b	14051	1662318	55382	57454	56441
c	14625	1726780	57455	59732	58614
d	15052	1776521	59733	61172	60467
d(Z)	15644	1841263	61173	63094	62130
dz	15885	1868293	63095	64411	63751
f	16297	1923965	64412	66800	65605
g	16882	1987112	66801	68256	67539
h-	17343	2035333	68257	69209	68725
j	17868	2091996	69210	70158	69705
k	18187	2126818	70159	71890	71001
l	18868	2204027	71891	72987	72435
l=	19487	2270130	72988	74422	73721
l=~	19917	2314091	74423	78472	76460
m	20158	2353009	78473	80065	79234
n	20822	2422776	80066	81028	80513
p	21476	2491930	81029	82932	81970
r	22097	2553612	82933	85004	83969
r=	22823	2621423	85005	87248	86140
r=~	23271	2669471	87249	92037	89658
s	23687	2740697	92038	93348	92694
t	24295	2821234	93349	94476	93923
t(S)	24878	2881818	94477	96328	95403
ts	25501	2956701	96329	97761	97046
v	25985	3015290	97762	98764	98249
w	26507	3070510	98765	101004	99900
x	26719	3092366	101005	102933	101964
z	27234	3155242	102934	104716	103849
_	11938	1328864	104717	105716	105223
{	27843	3230852	105717	106806	106257
===============================
(J)	I	0	2537
(J)	E	2538	3673
(J)	I_^E	3674	6748
(J)	I~	6749	9610
(J)	O	9611	11166
(J)	I_^a	11167	13998
(J)	c	13999	16024
(J)	_	16025	25223
(J)	J-	25224	27796
(J)	O~	27797	30470
(J)	U~	30471	33102
(J)	I_^U	33103	36720
(J)	a	36721	39594
(J)	U	39595	40519
-----------------------------
(L)	E	0	2474
(L)	I~	2475	4623
(L)	(S)	4624	6123
(L)	I	6124	7740
(L)	c	7741	10117
(L)	I_^a	10118	12320
(L)	(Z)	12321	14238
(L)	_	14239	16644
(L)	a	16645	19636
(L)	U_^O	19637	21881
(L)	ts	21882	23876
(L)	I_^U	23877	25868
(L)	v	25869	27216
(L)	U~	27217	30020
(L)	I_^E	30021	32670
(L)	p	32671	35094
(L)	b	35095	37109
(L)	I_^	37110	38729
(L)	U	38730	39693
(L)	s	39694	42245
(L)	t(S)	42246	44023
(L)	m	44024	45033
-----------------------------
(N)	k	0	1529
(N)	ts	1530	3388
(N)	g	3389	4558
-----------------------------
(S)	a	0	1595
(S)	E	1596	3524
(S)	ts	3525	5599
(S)	U	5600	8753
(S)	k	8754	10593
(S)	I	10594	13059
(S)	m	13060	15267
(S)	I_^a	15268	18739
(S)	_	18740	21461
(S)	E~	21462	23813
(S)	s	23814	26059
(S)	c	26060	28060
(S)	t(S)	28061	29984
(S)	I~	29985	34722
(S)	I_^E	34723	38480
(S)	(J)	38481	40817
(S)	O	40818	43205
(S)	U~	43206	45888
(S)	p	45889	48128
(S)	n	48129	50025
(S)	t	50026	52029
(S)	a~	52030	55305
(S)	v	55306	57305
(S)	O~	57306	62179
(S)	(L)	62180	64444
(S)	r	64445	67247
(S)	l	67248	69329
-----------------------------
(Z)	U	0	1614
(Z)	I	1615	3360
(Z)	I_^a	3361	5688
(Z)	E	5689	7211
(Z)	J-	7212	9048
(Z)	O	9049	11075
(Z)	O~	11076	14414
(Z)	U~	14415	17198
